,img,bank,card_name,cashback_rate,cashback_cap,cashback_benchmark,category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
0,https://ringgitplus.com/img/card-400/5ab4a9dc2af8f39d1adf1434/aeon-platinum-visa.jpg,aeon,aeon_platinum_visa,5.0,100,any amount monthly,aeon and aeon big thank you day,0.0,,False,True,False
1,https://ringgitplus.com/img/card-400/5ab4a9dc2af8f39d1adf1434/aeon-platinum-visa.jpg,aeon,aeon_platinum_visa,2.0,25,any amount monthly,online utility bill payment,0.0,,False,True,False
2,https://ringgitplus.com/img/card-400/5badee25bf72ec1126f9cb47/aeon-platinum-mastercard.jpg,aeon,aeon_platinum_mastercard,5.0,100,any amount monthly,aeon and aeon big thank you day,0.0,,False,True,False
3,https://ringgitplus.com/img/card-400/5badee25bf72ec1126f9cb47/aeon-platinum-mastercard.jpg,aeon,aeon_platinum_mastercard,2.0,25,any amount monthly,online utility bill payment,0.0,,False,True,False
4,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000a/new-aeon-visa-gold.jpg,aeon,new_aeon_visa_gold,5.0,100,any amount in a single receipt,aeon thank you day,0.0,,False,False,True
5,https://ringgitplus.com/img/card-400/519489e2193821ed4a000003/aeon-mastercard-gold.jpg,aeon,aeon_mastercard_gold,5.0,25,any amount monthly,dining,0.0,,False,True,False
6,https://ringgitplus.com/img/card-400/519489e2193821ed4a000009/aeon-visa-gold.jpg,aeon,aeon_visa_gold,5.0,25,any amount monthly,dining,0.0,,False,True,False
7,https://ringgitplus.com/img/card-400/519489e2193821ed4a000002/new-aeon-visa-classic.jpg,aeon,new_aeon_visa_classic,5.0,100,any amount in a single receipt,aeon thank you day,0.0,,False,False,True
8,https://ringgitplus.com/img/card-400/519489e2193821ed4a000004/new-aeon-mastercard-gold.jpg,aeon,new_aeon_mastercard_gold,5.0,100,any amount in a single receipt,aeon thank you day,0.0,,False,False,True
9,https://ringgitplus.com/img/card-400/519489e2193821ed4a000001/new-aeon-mastercard-classic.jpg,aeon,new_aeon_mastercard_classic,5.0,100,any amount in a single receipt,aeon thank you day,0.0,,False,False,True
10,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000b/aeon-visa-classic.jpg,aeon,aeon_visa_classic,5.0,100,any amount,aeon big thank you members day,0.0,,False,False,False
11,https://ringgitplus.com/img/card-400/519489e2193821ed4a000005/aeon-mastercard-classic.jpg,aeon,aeon_mastercard_classic,5.0,100,any amount monthly,aeon big thank you members day,0.0,,False,True,False
12,https://ringgitplus.com/img/card-400/519489e2193821ed4a000014/affinbank-bhpetrol-touch-fuel-mastercard-contactless.jpg,affin_bank,affinbank_bhpetrol_'touch_&_fuel'_mastercard_contactless,10.0,50,any amount on weekends only,petrol spend (weekend),0.0,,True,False,False
13,https://ringgitplus.com/img/card-400/519489e2193821ed4a000014/affinbank-bhpetrol-touch-fuel-mastercard-contactless.jpg,affin_bank,affinbank_bhpetrol_'touch_&_fuel'_mastercard_contactless,2.0,50,any amount monthly,petrol spend (weekdays),0.0,,False,True,False
14,https://ringgitplus.com/img/card-400/519489e2193821ed4a000028/alliance-bank-younique-great-rebates.jpg,alliance_bank,alliance_bank_you:nique_-_great_rebates,0.3,10000000000,"from RM3,001 and above monthly",all retail,3001.0,,False,True,False
15,https://ringgitplus.com/img/card-400/5571708d64c88c432e01e817/ambank-true-visa-credit-card.jpg,ambank,ambank_true_visa_credit_card,3.0,30,any amount monthly,online retail spend,0.0,,False,True,False
16,https://ringgitplus.com/img/card-400/5d9ff9a04945eeac7b690da5/bank-rakyat-platinum-explorer-credit-card-i.jpg,bank_rakyat,bank_rakyat_platinum_explorer_credit_card-i,5.0,83,any amount,airlines tickets and hotel bookings,0.0,,False,False,False
17,https://ringgitplus.com/img/card-400/519489e2193821ed4a000086/citi-premiermiles-mastercard.jpg,citibank,citi_premiermiles_mastercard,10.0,10000000000,from RM20 and above in a single receipt,fine dining & food deliveries,20.0,,False,False,True
18,https://ringgitplus.com/img/card-400/519489e2193821ed4a000086/citi-premiermiles-mastercard.jpg,citibank,citi_premiermiles_mastercard,10.0,80,from RM200 and above monthly,online groceries,200.0,,False,True,False
19,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,up to RM499 monthly,petrol,0.0,499.0,False,True,False
20,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,up to RM499 monthly,groceries,0.0,499.0,False,True,False
21,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,up to RM499 monthly,dining,0.0,499.0,False,True,False
22,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,up to RM499 monthly,grab,0.0,499.0,False,True,False
23,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,any amount monthly,other retail spends,0.0,,False,True,False
24,https://ringgitplus.com/img/card-400/588ffbba58ee29f075029557/citi-simplicity-mastercard.jpg,citibank,citi_simplicity_mastercard,10.0,10000000000,any amount monthly,interest back,0.0,,False,True,False
25,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,"from RM1 up to RM1,499 monthly",petrol,1.0,1499.0,False,True,False
26,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,"from RM1 up to RM1,499 monthly",groceries,1.0,1499.0,False,True,False
27,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,"from RM1 up to RM1,499 monthly",dining,1.0,1499.0,False,True,False
28,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,"from RM1 up to RM1,499 monthly",grab,1.0,1499.0,False,True,False
29,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,any amount monthly,other retail spends,0.0,,False,True,False
30,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card-i,1.0,15,"up to RM2,000 monthly",petrol,0.0,2000.0,False,True,False
31,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card-i,1.0,15,"up to RM2,000 monthly",groceries,0.0,2000.0,False,True,False
32,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card-i,1.0,15,"up to RM2,000 monthly",ewallets,0.0,2000.0,False,True,False
33,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card-i,0.2,10000000000,any amount monthly,all local and overseas retail spends,0.0,,False,True,False
34,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d9/hong-leong-wise-gold.jpg,hong_leong_bank,hong_leong_wise_gold,1.0,18,from RM500 and above monthly,petrol,500.0,,False,True,False
35,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d9/hong-leong-wise-gold.jpg,hong_leong_bank,hong_leong_wise_gold,1.0,18,from RM500 and above monthly,groceries,500.0,,False,True,False
36,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d9/hong-leong-wise-gold.jpg,hong_leong_bank,hong_leong_wise_gold,1.0,18,from RM500 and above monthly,dining,500.0,,False,True,False
37,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d9/hong-leong-wise-gold.jpg,hong_leong_bank,hong_leong_wise_gold,0.25,10000000000,from RM500 and above monthly,others,500.0,,False,True,False
38,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000da/hong-leong-wise-platinum.jpg,hong_leong_bank,hong_leong_wise_platinum,1.0,18,from RM500 and above monthly,petrol,500.0,,False,True,False
39,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000da/hong-leong-wise-platinum.jpg,hong_leong_bank,hong_leong_wise_platinum,1.0,18,from RM500 and above monthly,groceries,500.0,,False,True,False
40,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000da/hong-leong-wise-platinum.jpg,hong_leong_bank,hong_leong_wise_platinum,1.0,18,from RM500 and above monthly,dining,500.0,,False,True,False
41,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000da/hong-leong-wise-platinum.jpg,hong_leong_bank,hong_leong_wise_platinum,0.25,10000000000,from RM500 and above monthly,others,500.0,,False,True,False
42,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d6/hong-leong-essential.jpg,hong_leong_bank,hong_leong_essential,1.0,10000000000,"from RM7,001 and above monthly",all retail,7001.0,,False,True,False
43,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d6/hong-leong-essential.jpg,hong_leong_bank,hong_leong_essential,0.4,10000000000,any amount monthly,insurance transactions,0.0,,False,True,False
44,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c2/the-store-pacific-hong-leong-platinum-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_platinum_mastercard,6.0,30,"from RM1,501 and above monthly",the store and pacific,1501.0,,False,True,False
45,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c2/the-store-pacific-hong-leong-platinum-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_platinum_mastercard,0.5,10000000000,from RM1 and above in a single receipt,other retail,1.0,,False,False,True
46,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c1/the-store-pacific-hong-leong-gold-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_gold_mastercard,6.0,30,"from RM1,501 and above monthly",the store and pacific,1501.0,,False,True,False
47,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c1/the-store-pacific-hong-leong-gold-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_gold_mastercard,0.5,10000000000,from RM1 and above in a single receipt,other retail,1.0,,False,False,True
48,https://ringgitplus.com/img/card-400/54bf212f6a3668363f2c4e56/maybank-visa-signature.jpg,maybank,maybank_visa_signature,5.0,88,any amount monthly,petrol and groceries,0.0,,False,True,False
49,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f5/maybank-2-gold-cards.jpg,maybank,maybank_2_gold_cards,5.0,50,any amount on weekends only,all local and overseas spending,0.0,,True,False,False
50,https://ringgitplus.com/img/card-400/599fd556c1a2c40f50a6e646/maybank-american-express-cash-back-gold.jpg,maybank,maybank_american_express_cash_back_gold,1.5,10000000000,any amount monthly,all overseas retail spending,0.0,,False,True,False
51,https://ringgitplus.com/img/card-400/599fd556c1a2c40f50a6e646/maybank-american-express-cash-back-gold.jpg,maybank,maybank_american_express_cash_back_gold,1.0,10000000000,any amount monthly,all local retail spending,0.0,,False,True,False
52,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e8/maybank-islamic-petronas-ikhwan-visa-platinum-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_platinum_card-i,8.0,50,any amount,weekends petronas spend,0.0,,False,False,False
53,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e8/maybank-islamic-petronas-ikhwan-visa-platinum-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_platinum_card-i,1.0,50,any amount,weekdays petronas spend,0.0,,False,False,False
54,https://ringgitplus.com/img/card-400/59ef11f1511e6e271733223d/maybank-fc-barcelona-visa-signature.jpg,maybank,maybank_fc_barcelona_visa_signature,1.0,50,any amount monthly,"all purchases made all year long (except for government bodies, utilities and e-wallet reloads)",0.0,,False,True,False
55,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f7/maybank-2-platinum-cards.jpg,maybank,maybank_2_platinum_cards,5.0,50,any amount on weekends only,all retail (except for government bodies and utilities),0.0,,True,False,False
56,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e7/maybank-islamic-petronas-ikhwan-visa-gold-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_gold_card-i,8.0,50,any amount,weekends petronas spend,0.0,,False,False,False
57,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e7/maybank-islamic-petronas-ikhwan-visa-gold-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_gold_card-i,1.0,50,any amount,weekdays petronas spend,0.0,,False,False,False
58,https://ringgitplus.com/img/card-400/54feb7d0fd1ef36571cfff76/maybank-islamic-mastercard-ikhwan-gold-card-i.jpg,maybank,maybank_islamic_mastercard_ikhwan_gold_card-i,5.0,50,any amount monthly on weekends only,petrol and groceries,0.0,,True,True,False
59,https://ringgitplus.com/img/card-400/54feb188bc1ea1de43cbd9eb/maybank-islamic-mastercard-ikhwan-platinum-card-i.jpg,maybank,maybank_islamic_mastercard_ikhwan_platinum_card-i,5.0,50,any amount monthly on weekends only,petrol and groceries,0.0,,True,True,False
60,https://ringgitplus.com/img/card-400/55026529cdba705925412fc8/ocbc-365-mastercard.jpg,ocbc,ocbc_365_mastercard,0.5,10000000000,"from RM1,001 and above monthly",all retail expenses,1001.0,,False,True,False
61,https://ringgitplus.com/img/card-400/529d7ab195dae3756f000d22/ocbc-world-mastercard.jpg,ocbc,ocbc_world_mastercard,0.6,10000000000,"from RM1,001 and above monthly",all retail,1001.0,,False,True,False
62,https://ringgitplus.com/img/card-400/588831d6b8bc79665cc8a042/ocbc-cashflo-mastercard.jpg,ocbc,ocbc_cashflo_mastercard,0.5,10000000000,any amount,all retail local and abroad,0.0,,False,False,False
63,https://ringgitplus.com/img/card-400/5396c9098ff8f5a04f5f3407/ocbc-mastercard-pink.jpg,ocbc,ocbc_mastercard_pink,1.0,10000000000,any amount,all online and overseas spending,0.0,,False,False,False
